Minimum_HR,Maximum_HR,Average_HR,Delta_HR,Standard_Dev_SC,Maximum_SC,Average_SC,Sum_SC,Activity,Sedentary,ActivityCategorical
54,116,81.66790353,-12,7.847006424,21.53515625,4.813367652,2589.591797,Sedentary,1,0
60,116,84.37662338,-6,3.518978588,19.65820312,0.922993146,496.5703124,Sedentary,1,0
55,101,69.70088496,-14,2.307071434,21.53515625,0.381456067,214.7597656,Sedentary,1,0
51,114,87.0625,9,3.834278779,17.63671875,1.296480219,121.8691406,Sedentary,1,0
59,209,98.74157303,-105,5.422240142,19.91601562,2.01672432,1074.914062,Sedentary,1,0
50,132,94.78504673,-37,3.196146918,22.78515625,0.638474368,340.9453124,Sedentary,1,0
59,136,98.01890359,34,5.193392031,24.94335937,1.989919951,1050.677734,Sedentary,1,0
53,138,98.56296296,35,3.761158696,20.43945312,1.043938052,561.6386718,Sedentary,1,0
62,162,105.4421053,17,2.031909737,18.04296875,0.319450928,181.7675781,Sedentary,1,0
55,115,72.78605388,30,2.457387251,21.6796875,0.362211385,227.46875,Sedentary,1,0
50,146,95.14842301,63,7.133594075,23.00390625,4.557199698,2451.773437,Sedentary,1,0
57,116,66.53577982,51,2.621551233,20.71289062,0.508388006,276.0546874,Sedentary,1,0
46,102,72.71893491,1,2.686895037,17.9296875,0.525227864,176.4765625,Sedentary,1,0
50,144,84.87179487,7,2.593563035,16.6640625,0.498456169,271.1601562,Sedentary,1,0
62,154,109.4908425,-16,9.687820903,23.4375,8.562010819,4649.171875,Sedentary,1,0
63,112,74.6928702,1,2.601100778,19.3359375,0.46650301,254.2441406,Sedentary,1,0
55,132,80.24479167,0,4.618284051,23.0078125,1.331180586,764.0976562,Sedentary,1,0
72,137,99.93265306,15,5.502648557,23.30859375,2.340300013,1142.066406,Sedentary,1,0
69,176,106.7281947,10,8.39012714,24.7734375,6.387593877,3136.308594,Sedentary,1,0
66,125,98.30253623,39,6.680620369,22.1171875,4.419186789,2430.552734,Sedentary,1,0
66,120,81.85923218,11,0.863166543,14.484375,0.052369505,28.59375,Sedentary,1,0
58,149,84.71869328,55,4.110735347,21.0234375,1.348300176,740.2167968,Sedentary,1,0
65,168,115.7822142,24,4.179162457,21.0234375,1.2515625,688.3593749,Sedentary,1,0
56,129,74.04736842,2,1.975040274,19.3359375,0.27482082,156.3730468,Sedentary,1,0
61,141,82.24736842,-1,3.162749544,20.43945312,0.723588111,410.9980469,Sedentary,1,0
50,118,73.32520325,46,3.689132393,22.546875,0.816815969,401.0566406,Sedentary,1,0
